"时间戳记","Gender","Year","How many classes are you taking this year?","How many textbooks are required in total?","Where do you buy your textbooks?","How much approximately do these textbooks cost on you for this semester?","Rank your feelings about textbook cost this semester",""
"2018/11/05 12:27:21 下午 GMT-5","Female","2019","5","2","Free PDF files if available;Buying from others;Given by others","50$-100$","4",""
"2018/11/05 12:38:52 下午 GMT-5","Female","2021","4","3","Free PDF files if available","Less than 50$","1",""
"2018/11/05 12:44:57 下午 GMT-5","Male","2021","5","7","Campus bookstore;Online bookstore (amazon.com etc.);Free PDF files if available;Buying from others;Given by others","Over 200$","5",""
"2018/11/05 12:45:56 下午 GMT-5","Male","2019","5","3","Campus bookstore;Online bookstore (amazon.com etc.)","100$-200$","4",""
"2018/11/05 12:51:00 下午 GMT-5","Female","2022","5","4","Online bookstore (amazon.com etc.);Free PDF files if available","100$-200$","3",""
"2018/11/05 12:54:41 下午 GMT-5","Female","2020","6","4","Free PDF files if available","Less than 50$","1",""
"2018/11/05 1:19:09 下午 GMT-5","Male","2022","7","3","Campus bookstore","50$-100$","5",""
"2018/11/05 1:25:07 下午 GMT-5","Female","2019","4","1","Campus bookstore","50$-100$","2",""
"2018/11/05 1:55:12 下午 GMT-5","Female","2021","5","4","Campus bookstore;Online bookstore (amazon.com etc.);Free PDF files if available","100$-200$","4",""
"2018/11/05 1:55:57 下午 GMT-5","Female","2020","7","5","Free PDF files if available;Given by others","100$-200$","3",""
"2018/11/05 2:19:48 下午 GMT-5","Male","2019","5","2","Campus bookstore;Online bookstore (amazon.com etc.);Free PDF files if available","50$-100$","3",""
"2018/11/05 2:36:45 下午 GMT-5","Female","2020","5","3","Campus bookstore;Free PDF files if available","100$-200$","5",""
"2018/11/05 2:52:31 下午 GMT-5","Female","2019","5","4","Campus bookstore;Online bookstore (amazon.com etc.);Free PDF files if available","100$-200$","3",""
"2018/11/05 3:31:17 下午 GMT-5","Male","2021","3","1","Campus bookstore","Over 200$","4",""
